title,address,advertiser,link,terrace,m2,rooms,price
Moderne Dachgeschosswohnung mit Weitblick und Effizienz - Traumlage zur Miete!,"1200 Wien, 20. Bezirk, Brigittenau, Dresdner Straße 128",Immostar GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/moderne-dachgeschosswohnung-mit-weitblick-und-effizienz-traumlage-zur-miete-1811959304/,Loggia,69.0,3.0,2350.0
Unbefristete Zwei-Zimmer-Wohnung bei der U1 Troststraße !,"1100 Wien, 10. Bezirk, Favoriten",Z-Plus Immobilien e.U.,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/unbefristete-zwei-zimmer-wohnung-bei-der-u1-troststrasse-1343691922/,,71.0,2.0,879.85
Zieglergasse: Super-schicke 3-Zimmer Neubauwohnung in fantastischer Lage,"1070 Wien, 07. Bezirk, Neubau",Hubner Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/zieglergasse-super-schicke-3-zimmer-neubauwohnung-in-fantastischer-lage-1656212204/,Loggia,75.0,3.0,1850.0
2-Zimmer Wohnung mit Balkon im Nordbahnviertel (ab 01.01),"1020 Wien, 02. Bezirk, Leopoldstadt, Schweidlgasse 23",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1020-leopoldstadt/2-zimmer-wohnung-mit-balkon-im-nordbahnviertel-ab-01-01-1122263880/,Balkon,57.0,2.0,1461.0
Hauptmiethit Nähe Enkplatz,"1110 Wien, 11. Bezirk, Simmering, Hauffgasse 2",Wunderlich Immobilien-Treuhand GesmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/hauptmiethit-naehe-enkplatz-1743984088/,,75.0,2.0,740.0
"Kurzzeitvermietung! Gemütliche, ruhig gelegene 1-Zimmer-Wohnung mit Garten!","1200 Wien, 20. Bezirk, Brigittenau, Hartlgasse 19",Vivoreal Hausverwaltung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/kurzzeitvermietung-gemuetliche-ruhig-gelegene-1-zimmer-wohnung-mit-garten-1149225051/,Garten,35.0,1.0,800.0
3-Zimmer-Whng im Grünen mit Loggia + GARAGENSTELLPLATZ bei Bedarf,"1230 Wien, 23. Bezirk, Liesing",Hösch Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/3-zimmer-whng-im-gruenen-mit-loggia-garagenstellplatz-bei-bedarf-773556532/,Loggia,82.0,3.0,990.0
Mit Blick auf die Donau - Wohnung mit großem Balkon - offen und lichtdurchflutet - Nähe U1 Station Kaisermühlen,"1220 Wien, 22. Bezirk, Donaustadt, Wagramer Straße",ESTINA Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/mit-blick-auf-die-donau-wohnung-mit-grossem-balkon-offen-und-lichtdurchflutet-naehe-u1-station-kaisermuehlen-1308986459/,"Balkon, Loggia",55.0,2.0,1900.0
Familienfreundliche 5-Zimmer Wohnung direkt in der Währinger Straße,"1180 Wien, 18. Bezirk, Währing, Währinger Straße",VEST Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/familienfreundliche-5-zimmer-wohnung-direkt-in-der-waehringer-strasse-1237570560/,,192.0,5.0,2155.16
Wohnen im Grünen nahe Seestadt - charmantes Wohnprojekt in Ruhelage,"1220 Wien, 22. Bezirk, Donaustadt, Kupetzkygasse 43",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/wohnen-im-gruenen-nahe-seestadt-charmantes-wohnprojekt-in-ruhelage-1050669709/,Balkon,49.0,2.0,853.25
Wundervolle 1-Zimmer Wohnung in toller Lage - Einbauküche und Balkon inklusive - ab 01.02.2025 beziehbar!,"1120 Wien, 12. Bezirk, Meidling, Pohlgasse 26",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/wundervolle-1-zimmer-wohnung-in-toller-lage-einbaukueche-und-balkon-inklusive-ab-01-02-2025-beziehbar-958073435/,Balkon,31.0,1.0,699.0
Moderne 2-Zimmer-Wohnung in Top-Lage zu Vermieten! Jetzt anfragen!,"1210 Wien, 21. Bezirk, Floridsdorf, Prager Straße 105 109",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/moderne-2-zimmer-wohnung-in-top-lage-zu-vermieten-jetzt-anfragen-1328690120/,Loggia,54.0,2.0,964.99
Gepflegte Singlewohnung Nähe U4/U6,"1190 Wien, 19. Bezirk, Döbling, Hardtgasse","I.E.T. Immobilien, Dr. Veronika Gschwentner",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/gepflegte-singlewohnung-naehe-u4-u6-1343906253/,,32.0,1.0,640.44
"Süd-Neubauwohnung mit Balkon nahe S-Bahn Jedlersdorf, Straßenbahn 26 und SCN! Einbauküche inkludiert","1210 Wien, 21. Bezirk, Floridsdorf, Prager Straße 105 109",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/sued-neubauwohnung-mit-balkon-nahe-s-bahn-jedlersdorf-strassenbahn-26-und-scn-einbaukueche-inkludiert-1560970127/,Loggia,54.0,2.0,964.99
"1210 Wien, Brünner Straße / 2 Zimmer / 1 Kabinett - schöne und helle Wohnung","1210 Wien, 21. Bezirk, Floridsdorf",Novak Immobilienmakler GmbH Nachfolge OG,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/1210-wien-bruenner-strasse-2-zimmer-1-kabinett-schoene-und-helle-wohnung-1821217288/,,74.0,3.0,1199.99
2-Zimmer-Wohnung mit Terrasse im Dachgeschoss - in der Westbahnstraße,"1070 Wien, 07. Bezirk, Neubau, Westbahnstraße 13",IMV Makler GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/2-zimmer-wohnung-mit-terrasse-im-dachgeschoss-in-der-westbahnstrasse-1981213421/,Terrasse,60.0,2.0,1145.76
"Wohnen beim Kirschblütenpark - Spitzen Grundriss - Top Preis Leistungsverhältnis - ""ALL INCLUSIVE"" Wohnungen!","1220 Wien, 22. Bezirk, Donaustadt, Tokiostraße 12",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/wohnen-beim-kirschbluetenpark-spitzen-grundriss-top-preis-leistungsverhaeltnis-all-inclusive-wohnungen-2118644743/,,38.0,1.0,702.56
Ideale 2 Zimmer Wohnung mit separater Küche - TOP LAGE,"1090 Wien, 09. Bezirk, Alsergrund",IMMOcontract Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/ideale-2-zimmer-wohnung-mit-separater-kueche-top-lage-2039808033/,,67.0,2.0,1055.0
Erstklassige 3-Zimmer Wohnung nahe Einsiedlerplatz in 1050 Wien zu mieten,"1050 Wien, 05. Bezirk, Margareten",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/erstklassige-3-zimmer-wohnung-nahe-einsiedlerplatz-in-1050-wien-zu-mieten-1486448161/,,98.0,3.0,1596.5
Stadtblick auf 3 Zimmern mit kleinem Balkon im 9. Stock direkt am Modenapark - zu mieten in 1030 Wien,"1030 Wien, 03. Bezirk, Landstraße",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/stadtblick-auf-3-zimmern-mit-kleinem-balkon-im-9-stock-direkt-am-modenapark-zu-mieten-in-1030-wien-878381947/,Balkon,108.0,3.0,2395.0
